CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,93,URBANA,B,147,93,55,40,1,2,4,16,3,0,3,0,0,364,17,381,728,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,93,U,,-0.2116058726900205,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,94,URBANA,B,85,59,40,24,4,3,0,10,4,0,1,2,0,232,5,237,464,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,94,U,,-0.6443033260553637,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,94,URBANA,C01,74,47,55,26,1,3,2,20,2,0,0,0,0,230,15,245,463,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,94,U,,-0.5683510512155701,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,95,URBANA,B,151,98,57,13,1,13,0,10,1,0,2,2,1,348,9,358,630,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,95,U,,-0.28142906650212307,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,95,URBANA,S01,177,124,134,27,5,23,6,31,5,0,1,4,1,537,14,552,0,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,95,U,,0.4808974037100623,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,96,URBANA,B,65,85,65,8,2,2,2,14,1,0,2,1,0,247,15,262,497,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,96,U,,-0.09928508234052622,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,96,URBANA,C01,69,69,72,12,2,6,1,5,4,0,2,3,0,245,13,258,496,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,96,U,,-0.5498640160986038,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,97,URBANA,B,145,97,75,27,2,9,3,20,2,0,0,0,0,380,12,392,703,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,97,U,,-0.05727738111138981,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,98,URBANA,B,86,47,71,12,5,2,2,11,2,0,1,2,0,241,5,246,450,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,98,U,,-0.8058163210822634,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,98,URBANA,C01,76,44,74,9,3,5,3,6,1,0,5,2,0,228,4,232,450,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,98,U,,-0.926626028677578,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,99,URBANA,B,57,84,58,13,1,13,1,5,6,0,3,2,0,243,13,256,525,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,99,U,,-0.2844030578015245,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,99,URBANA,C01,58,67,74,14,2,6,0,11,1,0,0,0,0,233,12,245,524,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,99,U,,-0.4114579776714459,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,100,URBANA,B,103,95,79,26,4,6,4,28,1,0,0,1,0,347,7,354,701,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,100,U,,0.229312159404214,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,101,URBANA,B,92,70,57,19,3,5,4,11,2,0,1,0,0,264,10,274,574,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,101,U,,-0.4809439963566558,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,101,URBANA,C01,83,73,61,15,0,5,7,17,1,0,1,0,0,263,13,276,574,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,101,U,,-0.27425617133782737,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,101,URBANA,C02,83,59,69,12,6,9,4,23,4,0,0,1,0,270,0,270,573,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,101,U,,-0.35293344610004923,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,102,URBANA,B,117,107,66,21,8,9,3,9,2,0,3,1,0,346,8,354,666,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,102,U,,-0.0537975860412393,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,103,URBANA,B,77,48,111,33,10,15,5,15,7,0,1,2,0,324,22,346,641,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,103,U,,-0.6729252086015242,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,104,URBANA,B,59,69,74,26,7,10,5,8,2,0,0,0,7,260,22,289,593,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,104,U,,-0.4505037266356834,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,104,URBANA,C01,67,52,92,27,3,5,7,15,3,0,3,2,3,276,15,294,593,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,104,U,,-0.5792363936139665,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,105,MIXTA,B,42,72,95,33,10,4,5,36,4,0,3,0,0,304,13,317,672,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,105,M,,0.264814048697797,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,105,MIXTA,C01,35,84,95,27,0,6,3,34,4,0,0,0,0,288,23,311,672,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,105,M,,0.4246372575818325,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,105,MIXTA,C02,54,71,80,32,6,4,5,31,1,0,0,4,3,288,19,310,671,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,105,M,,0.09992535081315981,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,105,MIXTA,C03,56,69,85,28,3,6,5,30,3,0,4,2,0,291,20,311,671,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,105,M,,0.04128855742283863,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,106,URBANA,B,73,61,103,15,3,7,0,15,3,0,0,3,2,283,19,304,556,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,106,U,,-0.4644112575519018,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,106,URBANA,C01,62,48,100,30,5,1,5,9,4,0,3,1,0,268,16,284,555,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,106,U,,-0.7537821237344556,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,107,URBANA,B,51,55,65,22,4,3,2,7,7,0,1,0,0,217,16,233,408,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,107,U,,-0.6555056349396388,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,107,URBANA,C01,66,42,57,15,3,8,0,13,0,0,0,1,0,205,0,205,408,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,107,U,,-0.7696925378514258,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,108,URBANA,B,68,72,76,15,6,4,3,14,2,0,1,2,0,263,11,274,545,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,108,U,,-0.30443150013892273,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,108,URBANA,C01,64,73,62,12,5,9,1,21,0,0,2,0,1,249,11,261,545,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,108,U,,-0.12269309696365294,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,108,URBANA,C02,57,87,65,10,5,11,2,18,2,0,1,3,0,261,6,267,545,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,108,U,,0.045241867507811395,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,109,URBANA,B,79,85,123,16,6,4,7,18,0,0,91,0,0,429,13,442,739,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,109,U,,-0.05885060525680924,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,109,URBANA,C01,100,95,100,23,4,7,2,16,3,0,2,3,0,355,6,361,738,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,109,U,,-0.02332506864475027,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,109,URBANA,S01,16,23,19,2,1,4,1,0,0,0,0,0,0,66,2,68,0,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,109,U,,-1.1710147305006546,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,110,MIXTA,B,36,63,85,21,2,8,0,14,1,0,1,0,0,231,11,242,502,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,110,M,,-0.3317007716691117,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,110,MIXTA,C01,41,61,65,26,4,6,4,5,2,0,0,0,0,214,6,220,502,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,110,M,,-0.5756000500148722,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,110,MIXTA,C02,47,55,57,13,5,8,4,15,1,0,0,1,1,206,11,218,501,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,110,M,,-0.4668756167329733,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,111,URBANA,B,117,74,86,12,2,11,6,19,5,0,1,0,0,333,13,346,619,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,111,U,,-0.32995895996024593,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,111,URBANA,C01,108,74,75,8,2,16,6,17,6,0,0,1,0,313,13,326,618,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,111,U,,-0.3434411319996525,1,2,12.2
