CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
2,32,ZACATECAS,3,1,ZACATECAS,58,ZACATECAS,1860,URBANO(A),C01,27,100,25,4,4,1,122,22,2,1,3,1,0,5,1,0,318,4,322,535,ACTA CASILLA,NA,NA,NA,3,1,56,ZACATECAS,1860,U,NA,2.677500499117352,2,2,3.2
2,32,ZACATECAS,4,11,VILLANUEVA,36,OJOCALIENTE,1078,RURAL,B,12,47,12,16,2,2,20,2,3,1,1,0,0,0,0,0,118,2,120,164,ACTA CASILLA,NA,NA,NA,2,11,36,OJOCALIENTE,1078,R,NA,-0.3200567646950017,2,1,4.1
2,32,ZACATECAS,4,15,PINOS,39,PINOS,1150,URBANO(A),B,3,209,14,11,5,2,178,4,0,0,1,0,0,1,2,0,430,11,441,619,ACTA CASILLA,NA,NA,NA,4,15,38,PINOS,1150,U,NA,5.633579082039265,2,2,4.2
2,32,ZACATECAS,1,6,FRESNILLO,13,FRESNILLO,206,URBANO(A),B,44,102,14,4,8,8,170,41,2,0,0,1,0,6,9,0,409,14,423,693,ACTA CASILLA,NA,NA,NA,1,6,10,FRESNILLO,206,U,NA,3.8432849463899856,2,2,1.2
2,32,ZACATECAS,3,2,ZACATECAS,58,ZACATECAS,1810,URBANO(A),C01,28,82,14,3,3,7,90,6,2,0,0,0,0,8,5,0,248,5,253,392,ACTA CASILLA,NA,NA,NA,3,2,56,ZACATECAS,1810,U,NA,1.740475619683725,2,2,3.2
2,32,ZACATECAS,3,2,ZACATECAS,58,ZACATECAS,1801,URBANO(A),C01,32,105,29,10,8,3,179,20,4,1,0,0,0,8,5,1,404,7,412,667,GRUPO DE RECUENTO,NA,NA,NA,3,2,56,ZACATECAS,1801,U,NA,3.9934954097481885,2,2,3.2
2,32,ZACATECAS,3,1,ZACATECAS,58,ZACATECAS,1860,URBANO(A),C02,16,69,17,2,7,1,136,17,0,0,3,1,0,6,5,0,280,10,290,535,ACTA CASILLA,NA,NA,NA,3,1,56,ZACATECAS,1860,U,NA,2.6196507485502702,2,2,3.2
2,32,ZACATECAS,4,15,PINOS,39,PINOS,1151,MIXTO(A),B,4,178,10,3,4,2,141,5,0,0,0,0,0,1,0,0,348,11,359,526,ACTA CASILLA,NA,NA,NA,4,15,38,PINOS,1151,M,NA,4.338455982313588,2,2,4.2
2,32,ZACATECAS,4,15,PINOS,39,PINOS,1152,URBANO(A),B,3,110,17,0,1,4,278,7,0,0,2,0,0,2,1,0,425,4,429,640,ACTA CASILLA,NA,NA,NA,4,15,38,PINOS,1152,U,NA,6.312637985425157,2,2,4.2
2,32,ZACATECAS,1,6,FRESNILLO,13,FRESNILLO,207,URBANO(A),B,35,93,13,4,8,0,173,24,1,1,0,0,0,6,4,0,362,11,373,659,ACTA CASILLA,NA,NA,NA,1,6,10,FRESNILLO,207,U,NA,3.6909554685841153,2,2,1.2
