CLAVE_CASILLA,ID_ESTADO,estrato
080066B0100,8,11
080067B0100,8,11
080068B0100,8,2
080068C0100,8,2
080069B0100,8,11
080070B0100,8,11
080070C0100,8,11
080071B0100,8,11
080072B0100,8,11
080072C0100,8,11
080073B0100,8,2
080074B0100,8,2
080074S0100,8,2
080075B0100,8,2
080075C0100,8,2
080076B0100,8,2
080076C0100,8,2
080078B0100,8,2
080078C0100,8,2
080079B0100,8,2
080079C0100,8,2
080080B0100,8,11
080082B0100,8,7
080083B0100,8,16
080084B0100,8,7
080085B0100,8,7
080087B0100,8,16
080088B0100,8,7
080089B0100,8,7
080090B0100,8,7
080091B0100,8,7
080092B0100,8,7
080094B0100,8,7
080095B0100,8,7
080097B0100,8,7
080098B0100,8,7
080099B0100,8,7
080100B0100,8,7
080101B0100,8,7
080102B0100,8,18
080102C0100,8,18
080103B0100,8,9
080103C0100,8,9
080104B0100,8,18
080105B0100,8,18
080106B0100,8,18
080106C0100,8,18
080107B0100,8,18
080108B0100,8,18
080109B0100,8,9
080110B0100,8,18
080110C0100,8,18
080111B0100,8,18
080111C0100,8,18
080112B0100,8,9
080113B0100,8,9
080113C0100,8,9
080113E0100,8,9
080113E0101,8,9
080114B0100,8,18
080114C0100,8,18
080114C0200,8,18
080115B0100,8,9
080115E0100,8,9
080116B0100,8,18
080116C0100,8,18
080117B0100,8,18
080117C0100,8,18
080118B0100,8,9
080119B0100,8,9
080119C0100,8,9
080120B0100,8,9
080121B0100,8,9
080121C0100,8,9
080122B0100,8,18
080123B0100,8,9
080123C0100,8,9
080124B0100,8,9
080125B0100,8,9
080125C0100,8,9
080126B0100,8,9
080127B0100,8,7
080128B0100,8,16
080129B0100,8,16
080129C0100,8,16
080130B0100,8,16
080130C0100,8,16
080130C0200,8,16
080131B0100,8,7
080131C0100,8,7
080132B0100,8,16
080132C0100,8,16
080133B0100,8,16
080133C0100,8,16
080134B0100,8,16
080134C0100,8,16
080135B0100,8,16
080135C0100,8,16
080136B0100,8,16
080136C0100,8,16
080136C0200,8,16
080137B0100,8,16
080137C0100,8,16
080137C0200,8,16
080137C0300,8,16
080137S0100,8,7
080138B0100,8,7
080139B0100,8,7
080139E0100,8,7
080140B0100,8,7
080140E0100,8,7
080141B0100,8,7
080142B0100,8,7
080143B0100,8,7
080143E0100,8,7
080144B0100,8,16
080144C0100,8,16
080145B0100,8,7
080145C0100,8,7
080146B0100,8,7
080146C0100,8,7
080147B0100,8,16
080148B0100,8,16
080149B0100,8,11
080150B0100,8,11
080151B0100,8,11
080152B0100,8,2
080153B0100,8,2
080153C0100,8,2
080153C0200,8,2
080154B0100,8,2
080155B0100,8,2
080156B0100,8,11
080156C0100,8,11
080157B0100,8,2
080157C0100,8,2
080158B0100,8,2
080158C0100,8,2
080159B0100,8,2
080160B0100,8,2
080160C0100,8,2
080161B0100,8,2
080161C0100,8,2
080162B0100,8,2
080163B0100,8,11
080164B0100,8,2
080164C0100,8,2
080165B0100,8,2
080166B0100,8,2
080167B0100,8,2
080167C0100,8,2
080168B0100,8,2
080168C0100,8,2
080169B0100,8,2
080170B0100,8,2
080170C0100,8,2
080171B0100,8,2
080172B0100,8,11
080172C0100,8,11
080173B0100,8,2
080173E0100,8,2
080174B0100,8,11
080175B0100,8,5
080176B0100,8,14
080177B0100,8,5
080178B0100,8,5
080179B0100,8,5
080180B0100,8,14
080181B0100,8,5
080182B0100,8,5
080182S0100,8,5
080183B0100,8,14
080184B0100,8,5
080185B0100,8,14
080185C0100,8,14
080186B0100,8,5
080186C0100,8,5
080187B0100,8,5
080188B0100,8,5
080189B0100,8,14
080190B0100,8,14
080191B0100,8,5
080191C0100,8,5
080191C0200,8,5
080192B0100,8,14
080192C0100,8,14
080192C0200,8,14
080192C0300,8,14
080192C0400,8,14
080192C0500,8,14
080192C0600,8,14
080193B0100,8,14
080194B0100,8,14
080194C0100,8,14
080195B0100,8,14
080196B0100,8,14
080196C0100,8,14
080197B0100,8,5
080197C0100,8,5
080199B0100,8,14
080199C0100,8,14
080199E0100,8,5
080200B0100,8,14
080200C0100,8,14
080201B0100,8,5
080201C0100,8,5
080202B0100,8,14
080202C0100,8,14
080202C0200,8,14
080202C0300,8,14
080202C0400,8,14
080203B0100,8,14
080203C0100,8,14
080203C0200,8,14
080203C0300,8,14
080203C0400,8,14
080204B0100,8,14
080204C0100,8,14
080204C0200,8,14
080205B0100,8,14
080205C0100,8,14
080205C0200,8,14
080206B0100,8,5
080206C0100,8,5
080206C0200,8,5
080207B0100,8,5
080208B0100,8,5
080214B0100,8,5
080215B0100,8,5
080215C0100,8,5
080216B0100,8,14
080216C0100,8,14
080217B0100,8,5
080217E0100,8,5
080218B0100,8,5
080219B0100,8,5
080219E0100,8,5
080220B0100,8,5
080221B0100,8,18
080221C0100,8,18
080222B0100,8,9
080223B0100,8,9
080224B0100,8,9
080225B0100,8,18
080226B0100,8,9
080227B0100,8,9
080228B0100,8,9
080229B0100,8,9
080231B0100,8,9
080232B0100,8,9
080233B0100,8,9
080234B0100,8,18
080234E0100,8,9
080235B0100,8,18
080236B0100,8,18
080237B0100,8,9
080237C0100,8,9
080238B0100,8,2
080238C0100,8,2
080239B0100,8,2
080239C0100,8,2
080240B0100,8,11
080240C0100,8,11
080241B0100,8,11
080241C0100,8,11
080241C0200,8,11
080241C0300,8,11
080241C0400,8,11
080242B0100,8,2
080242E0100,8,2
080243B0100,8,2
080243C0100,8,2
080244B0100,8,2
080245B0100,8,2
080245C0100,8,2
080248B0100,8,2
080249B0100,8,2
080250B0100,8,2
080251B0100,8,11
080251C0100,8,2
080253B0100,8,9
080253C0100,8,9
080254B0100,8,9
080256B0100,8,9
080257B0100,8,9
080258B0100,8,9
080260B0100,8,9
080261B0100,8,14
080261C0100,8,14
080264B0100,8,5
080265B0100,8,14
080266B0100,8,14
080266C0100,8,14
080267B0100,8,5
080268B0100,8,5
080269B0100,8,5
080269C0100,8,5
080270B0100,8,14
080270E0100,8,5
080271B0100,8,16
080271C0100,8,16
080272B0100,8,16
080272C0100,8,16
080272C0200,8,16
080272C0300,8,16
080272C0400,8,16
080272C0500,8,16
080273B0100,8,7
080274B0100,8,16
080275B0100,8,16
080275C0100,8,16
080275C0200,8,16
080275C0300,8,16
080276B0100,8,16
080276C0100,8,16
080276C0200,8,16
080276C0300,8,16
080276C0400,8,16
080276C0500,8,16
080277B0100,8,16
080277C0100,8,16
080278B0100,8,7
080278C0100,8,7
080278C0200,8,7
080279B0100,8,16
080279C0100,8,16
080279C0200,8,16
080279C0300,8,16
080280B0100,8,7
080280C0100,8,7
080281B0100,8,7
080281C0100,8,7
080282B0100,8,16
080283B0100,8,7
080283C0100,8,7
080284B0100,8,16
080284C0100,8,16
080284C0200,8,16
080284C0300,8,16
080284C0400,8,16
080284S0100,8,7
080285B0100,8,7
080285C0100,8,7
080286B0100,8,16
080286C0100,8,16
080286C0200,8,16
080286C0300,8,16
080286C0400,8,16
080286C0500,8,16
080287B0100,8,16
080288B0100,8,16
080288C0100,8,16
080289B0100,8,16
080290B0100,8,7
080290C0100,8,7
080291B0100,8,16
080292B0100,8,7
080293B0100,8,7
080294B0100,8,7
080295B0100,8,7
080296B0100,8,16
080297B0100,8,16
080297C0100,8,16
080297C0200,8,16
080297C0300,8,16
080297C0400,8,16
080297C0500,8,16
080297C0600,8,16
080297C0700,8,16
080297C0800,8,16
080297C0900,8,16
080297C1000,8,16
080297C1100,8,16
080297C1200,8,16
080297C1300,8,16
080297C1400,8,16
080297C1500,8,16
080297C1600,8,16
080297C1700,8,16
080298B0100,8,7
080299B0100,8,16
080300B0100,8,16
080301B0100,8,7
080302B0100,8,16
080303B0100,8,7
080304B0100,8,7
080305B0100,8,7
080305C0100,8,7
080306B0100,8,16
080306C0100,8,16
080306C0200,8,16
080306C0300,8,16
080306C0400,8,16
080307B0100,8,16
080307C0100,8,16
080307C0200,8,16
080307C0300,8,16
080307C0400,8,16
080307C0500,8,16
080307C0600,8,16
080308B0100,8,16
080308C0100,8,16
080309B0100,8,7
080310B0100,8,7
080310C0100,8,7
080311B0100,8,7
080311C0100,8,7
080312B0100,8,7
080312C0100,8,7
080313B0100,8,7
080314B0100,8,16
080315B0100,8,7
080316B0100,8,7
080317B0100,8,7
080318B0100,8,7
080319B0100,8,7
080319C0100,8,7
080320B0100,8,16
080321B0100,8,16
080321C0100,8,16
080321C0200,8,16
080322B0100,8,16
080323B0100,8,16
080323C0100,8,16
080324B0100,8,16
080325B0100,8,7
080325C0100,8,7
080326B0100,8,16
080326C0100,8,16
080327B0100,8,16
080327C0100,8,16
080328B0100,8,7
080329B0100,8,16
080330B0100,8,16
080330C0100,8,16
080330C0200,8,16
080330C0300,8,16
080331B0100,8,7
080331C0100,8,7
080332B0100,8,16
080332C0100,8,16
080332C0200,8,16
080332C0300,8,16
080332C0400,8,16
080333B0100,8,16
080333C0100,8,16
080333C0200,8,16
080334B0100,8,16
080334C0100,8,16
080334C0200,8,16
080335B0100,8,16
080335C0100,8,16
080336B0100,8,7
080336C0100,8,7
080337B0100,8,7
080337C0100,8,7
080338B0100,8,16
080338C0100,8,16
080338C0200,8,16
080338C0300,8,16
080338S0100,8,7
080339B0100,8,16
080339C0100,8,16
080340B0100,8,16
080340C0100,8,16
080340C0200,8,16
080341B0100,8,16
080341C0100,8,16
080342B0100,8,16
080342C0100,8,16
080343B0100,8,16
080343C0100,8,16
080343C0200,8,16
080344B0100,8,7
080344C0100,8,7
080345B0100,8,7
080346B0100,8,7
080347B0100,8,7
080347C0100,8,7
080348B0100,8,16
080348C0100,8,16
080348C0200,8,16
080349B0100,8,7
080349C0100,8,7
080350B0100,8,16
080351B0100,8,7
080352B0100,8,7
080353B0100,8,7
080355B0100,8,7
080356B0100,8,7
080356C0100,8,7
080358B0100,8,7
080359B0100,8,7
080359C0100,8,7
080361B0100,8,7
080362B0100,8,7
080363B0100,8,7
080363E0100,8,7
080363E0101,8,7
080364B0100,8,7
080364E0100,8,16
080364E0101,8,16
080364E0102,8,16
080365B0100,8,7
080365C0100,8,7
080367B0100,8,7
080368B0100,8,16
080368C0100,8,16
080368C0200,8,16
080368C0300,8,16
080369B0100,8,16
080369C0100,8,16
080369C0200,8,16
080369C0300,8,16
080370B0100,8,7
080371B0100,8,7
080373B0100,8,16
080373C0100,8,16
080373C0200,8,16
080373C0300,8,16
080373C0400,8,16
080373C0500,8,16
080374B0100,8,7
080375B0100,8,7
080376B0100,8,7
080377B0100,8,7
080378B0100,8,7
080379B0100,8,16
080380B0100,8,7
080381B0100,8,7
080382B0100,8,7
080383B0100,8,16
080383E0100,8,16
080383E0101,8,16
080383E0102,8,16
080383E0103,8,16
080384B0100,8,7
080384E0100,8,16
080385B0100,8,7
080385C0100,8,7
080386B0100,8,7
080388B0100,8,16
080388C0100,8,16
080389B0100,8,7
080390B0100,8,7
080391B0100,8,7
080393B0100,8,7
080394B0100,8,7
080395B0100,8,7
080396B0100,8,16
080397B0100,8,7
080398B0100,8,16
080399B0100,8,7
080400B0100,8,7
080401B0100,8,7
080402B0100,8,6
080402C0100,8,6
080403B0100,8,6
080403C0100,8,6
080404B0100,8,15
080405B0100,8,6
080405C0100,8,6
080406B0100,8,15
080407B0100,8,15
080408B0100,8,6
080408C0100,8,6
080409B0100,8,15
080410B0100,8,15
080410C0100,8,15
080411B0100,8,6
080411C0100,8,6
080412B0100,8,6
080412C0100,8,6
080413B0100,8,6
080413C0100,8,6
080414B0100,8,6
080414C0100,8,6
080415B0100,8,6
080415C0100,8,6
080416B0100,8,6
080416C0100,8,6
080417B0100,8,15
080418B0100,8,6
080418C0100,8,6
080419B0100,8,15
080420B0100,8,15
080420C0100,8,15
080421B0100,8,15
080422B0100,8,6
080422C0100,8,6
080423B0100,8,15
080424B0100,8,6
080424C0100,8,6
080425B0100,8,6
080425C0100,8,6
080426B0100,8,15
080427B0100,8,15
080428B0100,8,15
080429B0100,8,15
080430B0100,8,6
080431B0100,8,6
080432B0100,8,6
080433B0100,8,15
080434B0100,8,6
080435B0100,8,6
080436B0100,8,15
080437B0100,8,17
080438B0100,8,17
080439B0100,8,8
080439C0100,8,8
080440B0100,8,17
080440C0100,8,17
080441B0100,8,8
080441C0100,8,8
080442B0100,8,17
080443B0100,8,17
080444B0100,8,17
080445B0100,8,8
080446B0100,8,17
080447B0100,8,6
080448B0100,8,6
080449B0100,8,6
080450B0100,8,6
080450C0100,8,6
080451B0100,8,6
080452B0100,8,15
080453B0100,8,6
080454B0100,8,6
080455B0100,8,6
080455C0100,8,6
080456B0100,8,6
080457B0100,8,6
080458B0100,8,6
080459B0100,8,6
080460B0100,8,6
080460C0100,8,6
080461B0100,8,15
080462B0100,8,15
080463B0100,8,15
080464B0100,8,6
080464C0100,8,6
080465B0100,8,6
080465C0100,8,6
080466B0100,8,6
080466C0100,8,6
080467B0100,8,6
080468B0100,8,6
080468C0100,8,6
080469B0100,8,6
080470B0100,8,6
080470S0100,8,6
080471B0100,8,17
080472B0100,8,17
080473B0100,8,8
080473C0100,8,8
080474B0100,8,8
080475B0100,8,17
080476B0100,8,8
080476C0100,8,8
080477B0100,8,17
080478B0100,8,17
080479B0100,8,8
080480B0100,8,8
080480C0100,8,8
080481B0100,8,8
080481C0100,8,8
080482B0100,8,8
080482C0100,8,8
080483B0100,8,8
080483C0100,8,8
080484B0100,8,17
080485B0100,8,8
080485C0100,8,8
080486B0100,8,17
080486C0100,8,17
080486C0200,8,17
080487B0100,8,8
080487C0100,8,8
080487C0200,8,8
080488B0100,8,8
080488C0100,8,8
080489B0100,8,17
080490B0100,8,17
080490C0100,8,17
080491B0100,8,17
080492B0100,8,17
080492C0100,8,17
080493B0100,8,17
080493C0100,8,17
080494B0100,8,8
080494C0100,8,8
080495B0100,8,17
080495C0100,8,17
080496B0100,8,8
080496C0100,8,8
080497B0100,8,8
080497C0100,8,8
080498B0100,8,8
080499B0100,8,17
080500B0100,8,6
080500C0100,8,6
080501B0100,8,6
080502B0100,8,15
080503B0100,8,6
080504B0100,8,15
080505B0100,8,15
080506B0100,8,15
080507B0100,8,6
080508B0100,8,8
080508E0100,8,8
080508E0200,8,8
080509B0100,8,8
080509C0100,8,8
080509E0100,8,8
080510B0100,8,15
080511B0100,8,15
080512B0100,8,15
080513B0100,8,15
080513C0100,8,15
080514B0100,8,15
080514C0100,8,15
080515B0100,8,15
080515C0100,8,15
080516B0100,8,6
080517B0100,8,15
080518B0100,8,6
080518C0100,8,6
080519B0100,8,15
080520B0100,8,15
080521B0100,8,6
080521C0100,8,6
080522B0100,8,15
080523B0100,8,8
080524B0100,8,17
080525B0100,8,8
080526B0100,8,8
080527B0100,8,8
080527C0100,8,8
080528B0100,8,8
080528C0100,8,8
080529B0100,8,8
080529C0100,8,8
080530B0100,8,8
080530C0100,8,8
080531B0100,8,17
080532B0100,8,8
080532C0100,8,8
080533B0100,8,8
080533C0100,8,8
080534B0100,8,17
080534C0100,8,17
080534C0200,8,17
080535B0100,8,8
080535C0100,8,8
080536B0100,8,17
080536C0100,8,17
080537B0100,8,17
080537C0100,8,17
080537C0200,8,17
080538B0100,8,17
080538C0100,8,17
080538C0200,8,17
080538C0300,8,17
080538C0400,8,17
080539B0100,8,17
080539C0100,8,17
080539C0200,8,17
080539C0300,8,17
080540B0100,8,17
080540C0100,8,17
080540C0200,8,17
080541B0100,8,17
080541C0100,8,17
080541C0200,8,17
080541C0300,8,17
080541C0400,8,17
080541C0500,8,17
080542B0100,8,8
080542C0100,8,8
080543B0100,8,8
080543C0100,8,8
080543C0200,8,8
080543E0100,8,17
080543E0101,8,17
080544B0100,8,8
080544C0100,8,8
080545B0100,8,17
080546B0100,8,17
080547B0100,8,8
080548B0100,8,17
080549B0100,8,6
080550B0100,8,6
080550C0100,8,6
080551B0100,8,6
080551C0100,8,6
080552B0100,8,6
080552C0100,8,6
080553B0100,8,6
080553C0100,8,6
080554B0100,8,6
080554C0100,8,6
080555B0100,8,6
080556B0100,8,15
080556C0100,8,15
080557B0100,8,6
080557C0100,8,6
080558B0100,8,6
080558C0100,8,6
080559B0100,8,6
080559C0100,8,6
080560B0100,8,6
080560C0100,8,6
080561B0100,8,15
080562B0100,8,8
080562C0100,8,8
080563B0100,8,8
080563C0100,8,8
080563E0100,8,8
