state_abbr,indice_grupo,indice_votos,tam_ln,estratificacion_num,estrato_df,n
ZAC,2,1,1,6,2.2.1.1,331
ZAC,2,1,1,6,3.2.1.1,192
ZAC,2,1,1,6,4.2.1.1,94
ZAC,2,1,1,7,1.2.1.1,180
ZAC,2,1,1,7,2.2.1.1,308
ZAC,2,1,1,7,3.2.1.1,198
ZAC,2,1,1,7,4.2.1.1,142
ZAC,2,1,1,8,1.2.1.1,152
ZAC,2,1,1,8,2.2.1.1,296
ZAC,2,1,1,8,3.2.1.1,155
ZAC,2,1,1,8,4.2.1.1,71
ZAC,2,1,2,7,1.2.1.2,119
ZAC,2,1,2,7,2.2.1.2,70
ZAC,2,1,2,7,3.2.1.2,86
ZAC,2,1,2,7,4.2.1.2,151
ZAC,2,1,2,8,1.2.1.2,27
ZAC,2,1,2,8,2.2.1.2,35
ZAC,2,1,2,8,3.2.1.2,37
ZAC,2,1,2,8,4.2.1.2,23
ZAC,2,2,1,6,1.2.2.1,120
ZAC,2,2,1,6,2.2.2.1,47
ZAC,2,2,1,6,3.2.2.1,92
ZAC,2,2,1,6,4.2.2.1,199
ZAC,2,2,1,8,1.2.2.1,28
ZAC,2,2,1,8,2.2.2.1,12
ZAC,2,2,1,8,3.2.2.1,43
ZAC,2,2,1,8,4.2.2.1,71
ZAC,2,2,2,8,1.2.2.2,92
ZAC,2,2,2,8,2.2.2.2,35
ZAC,2,2,2,8,3.2.2.2,49
ZAC,2,2,2,8,4.2.2.2,128
